,names,links,ratings,real_price,discounts,final_price
0,"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)",https://www.flipkart.com/samsung-galaxy-f05-twilight-blue-64-gb/p/itm84a914081ab93?pid=MOBH4GTXZ9ZRQ3SU&lid=LSTMOBH4GTXZ9ZRQ3SUTOKMZJ&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBH4GTXZ9ZRQ3SU.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.2,9999,20% off,7999
1,"SAMSUNG Galaxy S23 5G (Cream, 256 GB)",https://www.flipkart.com/samsung-galaxy-s23-5g-cream-256-gb/p/itm745d4b532623e?pid=MOBGMFFXURCVYANE&lid=LSTMOBGMFFXURCVYANE4SRNTK&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGMFFXURCVYANE.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.6,95999,50% off,47999
2,"SAMSUNG Galaxy S23 5G (Green, 128 GB)",https://www.flipkart.com/samsung-galaxy-s23-5g-green-128-gb/p/itm7cdd081996dc8?pid=MOBGNPGYWGZAUZGK&lid=LSTMOBGNPGYWGZAUZGKLQSOT0&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGNPGYWGZAUZGK.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.6,89999,52% off,42999
3,"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)",https://www.flipkart.com/samsung-galaxy-a14-5g-dark-red-128-gb/p/itma8393faabfb76?pid=MOBGHT8UUUNXNYZ4&lid=LSTMOBGHT8UUUNXNYZ4QUY1LJ&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGHT8UUUNXNYZ4.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.2,20999,42% off,11999
4,"SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB)",https://www.flipkart.com/samsung-galaxy-m35-5g-daybreak-blue-128-gb/p/itm1a53e8f5191db?pid=MOBH2Y7HKCYDEHFZ&lid=LSTMOBH2Y7HKCYDEHFZFWSDRT&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBH2Y7HKCYDEHFZ.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.4,24499,36% off,15456
5,"SAMSUNG Galaxy S23 5G (Cream, 128 GB)",https://www.flipkart.com/samsung-galaxy-s23-5g-cream-128-gb/p/itmc77ff94cdf044?pid=MOBGMFFX5XYE8MZN&lid=LSTMOBGMFFX5XYE8MZNRGKCA5&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGMFFX5XYE8MZN.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.6,89999,52% off,42999
6,"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)",https://www.flipkart.com/samsung-galaxy-s23-5g-phantom-black-256-gb/p/itm347e695feffe7?pid=MOBGMFFXPNSHBGRC&lid=LSTMOBGMFFXPNSHBGRCPG5BZP&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGMFFXPNSHBGRC.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.6,95999,50% off,47999
7,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)",https://www.flipkart.com/samsung-galaxy-s23-fe-graphite-128-gb/p/itme751066521899?pid=MOBGVTA2836DQWTT&lid=LSTMOBGVTA2836DQWTTISGIME&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGVTA2836DQWTT.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.4,79999,56% off,34999
8,"SAMSUNG Galaxy S23 5G (Lavender, 256 GB)",https://www.flipkart.com/samsung-galaxy-s23-5g-lavender-256-gb/p/itmfbae75e3840e1?pid=MOBGMFFXDQTGNWVK&lid=LSTMOBGMFFXDQTGNWVKWE3VH0&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGMFFXDQTGNWVK.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.6,95999,50% off,47999
9,"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)",https://www.flipkart.com/samsung-galaxy-s23-5g-phantom-black-128-gb/p/itm1f3efe01d1c61?pid=MOBGNPGZVX4PCTTF&lid=LSTMOBGNPGZVX4PCTTFYWYWBL&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGNPGZVX4PCTTF.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.6,89999,52% off,42999
